Cement (%),Slag (%),Fly ash (%),Coarse aggregate (%),Fine aggregate (%),W/CM,Superplasticizer dosage,Age (days),Compressive strength (MPa)
23.93617021,0,0,46.09929078,29.96453901,0.3,0.00462963,28,79.99
23.77807133,0,0,46.45530603,29.76662263,0.3,0.00462963,28,61.89
16.61669165,7.12143928,0,46.57671164,29.68515742,0.48,0,270,40.27
16.61669165,7.12143928,0,46.57671164,29.68515742,0.48,0,365,41.05
9.302543445,6.20169563,0,45.82884444,38.66691648,0.580060423,0,360,44.3
13.42078708,5.751765893,0,47.02320888,33.80423814,0.6,0,90,47.03
18.99050475,4.747626187,0,46.57671164,29.68515742,0.48,0,365,43.7
18.99050475,4.747626187,0,46.57671164,29.68515742,0.48,0,28,36.45
13.42078708,5.751765893,0,47.02320888,33.80423814,0.6,0,28,45.85
23.73813093,0,0,46.57671164,29.68515742,0.48,0,28,39.29
9.302543445,6.20169563,0,45.82884444,38.66691648,0.580060423,0,90,38.07
9.302543445,6.20169563,0,45.82884444,38.66691648,0.580060423,0,28,28.02
21.36431784,2.373813093,0,46.57671164,29.68515742,0.48,0,270,43.01
9.586276488,9.586276488,0,47.02320888,33.80423814,0.6,0,90,42.33
15.33804238,3.834510595,0,47.02320888,33.80423814,0.6,0,28,47.81
19.17255298,0,0,47.02320888,33.80423814,0.6,0,90,52.91
6.337101094,9.505651641,0,47.52825821,36.62898906,0.550143266,0,90,39.36
17.25529768,1.917255298,0,47.02320888,33.80423814,0.6,0,365,56.14
18.99050475,4.747626187,0,46.57671164,29.68515742,0.48,0,90,40.56
23.73813093,0,0,46.57671164,29.68515742,0.48,0,180,42.62
21.36431784,2.373813093,0,46.57671164,29.68515742,0.48,0,180,41.84
6.337101094,9.505651641,0,47.52825821,36.62898906,0.550143266,0,28,28.24
6.337101094,9.505651641,0,47.52825821,36.62898906,0.550143266,0,3,8.06
6.337101094,9.505651641,0,47.52825821,36.62898906,0.550143266,0,180,44.21
19.17255298,0,0,47.02320888,33.80423814,0.6,0,365,52.52
19.17255298,0,0,47.02320888,33.80423814,0.6,0,270,53.3
18.99050475,4.747626187,0,46.57671164,29.68515742,0.48,0,270,41.15
17.25529768,1.917255298,0,47.02320888,33.80423814,0.6,0,180,52.12
21.36431784,2.373813093,0,46.57671164,29.68515742,0.48,0,28,37.43
23.73813093,0,0,46.57671164,29.68515742,0.48,0,7,38.6
15.33804238,3.834510595,0,47.02320888,33.80423814,0.6,0,365,55.26
13.42078708,5.751765893,0,47.02320888,33.80423814,0.6,0,365,52.91
9.302543445,6.20169563,0,45.82884444,38.66691648,0.580060423,0,180,41.72
23.73813093,0,0,46.57671164,29.68515742,0.48,0,270,42.13
9.586276488,9.586276488,0,47.02320888,33.80423814,0.6,0,365,53.69
11.86906547,11.86906547,0,46.57671164,29.68515742,0.48,0,270,38.41
11.86906547,11.86906547,0,46.57671164,29.68515742,0.48,0,28,30.08
16.61669165,7.12143928,0,46.57671164,29.68515742,0.48,0,90,37.72
23.73813093,0,0,46.57671164,29.68515742,0.48,0,90,42.23
11.86906547,11.86906547,0,46.57671164,29.68515742,0.48,0,180,36.25
17.25529768,1.917255298,0,47.02320888,33.80423814,0.6,0,90,50.46
21.36431784,2.373813093,0,46.57671164,29.68515742,0.48,0,365,43.7
11.86906547,11.86906547,0,46.57671164,29.68515742,0.48,0,365,39
19.17255298,0,0,47.02320888,33.80423814,0.6,0,180,53.1
21.36431784,2.373813093,0,46.57671164,29.68515742,0.48,0,90,41.54
21.36431784,2.373813093,0,46.57671164,29.68515742,0.48,0,7,35.08
15.84275274,0,0,47.52825821,36.62898906,0.550143266,0,3,15.05
18.99050475,4.747626187,0,46.57671164,29.68515742,0.48,0,180,40.76
11.86906547,11.86906547,0,46.57671164,29.68515742,0.48,0,7,26.26
18.99050475,4.747626187,0,46.57671164,29.68515742,0.48,0,7,32.82
16.61669165,7.12143928,0,46.57671164,29.68515742,0.48,0,180,39.78
9.586276488,9.586276488,0,47.02320888,33.80423814,0.6,0,180,46.93
11.86906547,11.86906547,0,46.57671164,29.68515742,0.48,0,90,33.12
15.33804238,3.834510595,0,47.02320888,33.80423814,0.6,0,90,49.19
6.337101094,9.505651641,0,47.52825821,36.62898906,0.550143266,0,7,14.59
9.302543445,6.20169563,0,45.82884444,38.66691648,0.580060423,0,7,14.64
23.73813093,0,0,46.57671164,29.68515742,0.48,0,365,41.93
9.302543445,6.20169563,0,45.82884444,38.66691648,0.580060423,0,3,9.13
15.33804238,3.834510595,0,47.02320888,33.80423814,0.6,0,180,50.95
16.61669165,7.12143928,0,46.57671164,29.68515742,0.48,0,28,33.02
15.33804238,3.834510595,0,47.02320888,33.80423814,0.6,0,270,54.38
13.42078708,5.751765893,0,47.02320888,33.80423814,0.6,0,270,51.73
14.54306624,0,0,45.55263652,39.90429724,0.619354839,0,3,9.87
9.586276488,9.586276488,0,47.02320888,33.80423814,0.6,0,270,50.66
13.42078708,5.751765893,0,47.02320888,33.80423814,0.6,0,180,48.7
17.25529768,1.917255298,0,47.02320888,33.80423814,0.6,0,270,55.06
6.337101094,9.505651641,0,47.52825821,36.62898906,0.550143266,0,360,44.7
16.61669165,7.12143928,0,46.57671164,29.68515742,0.48,0,7,30.28
9.586276488,9.586276488,0,47.02320888,33.80423814,0.6,0,28,40.86
20.16632017,0,0,46.56964657,33.26403326,0.301030928,0,28,71.99
16.65182547,8.423864648,0,41.23330365,33.69100623,0.302024148,0.017933239,3,34.4
14.02291648,11.73574434,0,46.85793573,27.38340346,0.304952215,0.014943527,3,28.8
18.71834398,4.681788152,0,37.5291786,39.07068928,0.288913985,0.031055901,3,33.4
18.71422281,4.680757376,0,41.21532365,35.38969617,0.284961415,0.03500847,3,36.3
16.20920683,4.054462935,0,36.83164037,42.90468986,0.270051195,0.049914676,3,29
21.32531202,5.333572775,0,38.255365,35.0857502,0.304984843,0.014988212,3,37.8
20.58100755,5.14305775,0,37.39248727,36.88344743,0.235073354,0.054930058,3,40.2
18.71834398,4.681788152,0,37.5291786,39.07068928,0.288913985,0.031055901,3,33.4
17.1681025,4.289816656,0,37.64523967,40.89684118,0.325097797,0.024912497,3,28.1
23.33230864,0,0,37.42040314,39.24728822,0.266892528,0.053077357,3,41.3
18.71834398,4.681788152,0,37.5291786,39.07068928,0.288913985,0.031055901,3,33.4
14.08251612,9.386871632,0,37.64025091,38.89036134,0.293054771,0.026915114,3,25.2
17.50457437,4.12564259,0,41.24771282,37.12207023,0.296878147,0.022960725,3,41.1
16.1005284,8.392167311,0,41.94751565,33.55978864,0.298948513,0.021029732,3,35.3
14.65302612,12.80159341,0,42.67348694,29.87189353,0.303050289,0.016982688,3,28.3
16.71806167,6.660792952,0,49.969163,26.65198238,0.289994347,0.02996043,3,28.6
16.1005284,8.392167311,0,41.94751565,33.55978864,0.298948513,0.021029732,3,35.3
12.47222827,8.751905903,0,43.76388586,35.01197996,0.297003284,0.022988506,3,24.4
16.1005284,8.392167311,0,41.94751565,33.55978864,0.298948513,0.021029732,3,35.3
19.87504527,8.013400942,0,40.06247736,32.04907642,0.301948052,0.018019481,3,39.3
17.10537861,8.291655699,0,41.44511714,33.15784856,0.252029712,0.038003109,3,40.6
16.1005284,8.392167311,0,41.94751565,33.55978864,0.298948513,0.021029732,3,35.3
15.17015354,8.485229415,0,42.41267846,33.93193858,0.331941545,0.018029987,3,24.1
16.65182547,8.423864648,0,41.23330365,33.69100623,0.302024148,0.017933239,7,46.2
14.02291648,11.73574434,0,46.85793573,27.38340346,0.304952215,0.014943527,7,42.8
18.71834398,4.681788152,0,37.5291786,39.07068928,0.288913985,0.031055901,7,49.2
18.71422281,4.680757376,0,41.21532365,35.38969617,0.284961415,0.03500847,7,46.8
16.20920683,4.054462935,0,36.83164037,42.90468986,0.270051195,0.049914676,7,45.7
21.32531202,5.333572775,0,38.255365,35.0857502,0.304984843,0.014988212,7,55.6
20.58100755,5.14305775,0,37.39248727,36.88344743,0.235073354,0.054930058,7,54.9
18.71834398,4.681788152,0,37.5291786,39.07068928,0.288913985,0.031055901,7,49.2
17.1681025,4.289816656,0,37.64523967,40.89684118,0.325097797,0.024912497,7,34.9
23.33230864,0,0,37.42040314,39.24728822,0.266892528,0.053077357,7,46.9
18.71834398,4.681788152,0,37.5291786,39.07068928,0.288913985,0.031055901,7,49.2
14.08251612,9.386871632,0,37.64025091,38.89036134,0.293054771,0.026915114,7,33.4
17.50457437,4.12564259,0,41.24771282,37.12207023,0.296878147,0.022960725,7,54.1
16.1005284,8.392167311,0,41.94751565,33.55978864,0.298948513,0.021029732,7,55.9
14.65302612,12.80159341,0,42.67348694,29.87189353,0.303050289,0.016982688,7,49.8
16.71806167,6.660792952,0,49.969163,26.65198238,0.289994347,0.02996043,7,47.1
16.1005284,8.392167311,0,41.94751565,33.55978864,0.298948513,0.021029732,7,55.9
12.47222827,8.751905903,0,43.76388586,35.01197996,0.297003284,0.022988506,7,38
16.1005284,8.392167311,0,41.94751565,33.55978864,0.298948513,0.021029732,7,55.9
19.87504527,8.013400942,0,40.06247736,32.04907642,0.301948052,0.018019481,7,56.1
17.10537861,8.291655699,0,41.44511714,33.15784856,0.252029712,0.038003109,7,59.09
16.1005284,8.392167311,0,41.94751565,33.55978864,0.298948513,0.021029732,7,22.9
15.17015354,8.485229415,0,42.41267846,33.93193858,0.331941545,0.018029987,7,35.1
16.65182547,8.423864648,0,41.23330365,33.69100623,0.302024148,0.017933239,28,61.09
14.02291648,11.73574434,0,46.85793573,27.38340346,0.304952215,0.014943527,28,59.8
18.71834398,4.681788152,0,37.5291786,39.07068928,0.288913985,0.031055901,28,60.29
