Year,Emitted CO2 (tons)
1800,69000
1801,73000
1802,79000
1803,81000
1804,91000
1805,93000
1806,91000
1807,103000
1808,107000
1809,110000
1810,114000
1811,122000
1812,132000
1813,142000
1814,153000
1815,164000
1816,181000
1817,196000
1818,213000
1819,208000
1820,216000
1821,226000
1822,236000
1823,246000
1824,277000
1825,310000
1826,359000
1827,395000
1828,435000
1829,490000
1830,570000
1831,618000
1832,825000
1833,963000
1834,923000
1835,1178000
1836,1291000
1837,1448000
1838,1373000
1839,1506000
1840,1603000
1841,1696000
1842,1888000
1843,2119000
1844,2540000
1845,3058000
1846,3469000
1847,4113000
1848,4581000
1849,4973000
1850,5402000
1851,6723000
1852,7312000
1853,8232000
1854,9050000
1855,10415000
1856,10927000
1857,11205000
1858,11367000
1859,12369000
1860,12947000
1861,12467000
1862,12950000
1863,14959000
1864,16009000
1865,16054000
1866,16166000
1867,19887000
1868,22476000
1869,25572000
1870,26916000
1871,28117000
1872,34472000
1873,38075000
1874,36653000
1875,37049000
1876,36250000
1877,40168000
1878,39275000
1879,47890000
1880,54226000
1881,57367000
1882,64245000
1883,69291000
1884,73032000
1885,74280000
1886,78456000
1887,83892000
1888,102040000
1889,91578000
1890,109647000
1891,116655000
1892,122939000
1893,123934000
1894,116007000
1895,130990000
1896,131245000
1897,136541000
1898,148832000
1899,170724000
1900,180878000
1901,196923000
1902,208650000
1903,244106000
1904,240235000
1905,268695000
1906,282025000
1907,328003000
1908,286838000
1909,317509000
1910,346405000
1911,342900000
1912,366051000
1913,393044000
1914,359088000
1915,372617000
1916,413826000
1917,455368000
1918,476415000
1919,403098000
1920,473769000
1921,388093000
1922,391192000
1923,516924000
1924,462771000
1925,475136000
1926,515430000
1927,503504000
1928,498850000
1929,535027000
1930,475494000
1931,404771000
1932,342904000
1933,367681000
1934,391482000
1935,406731000
1936,466893000
1937,488418000
1938,413051000
1939,455203000
1940,510778000
1941,556554000
1942,598771000
1943,618773000
1944,666042000
1945,642833000
1946,614911000
1947,677064000
1948,703344000
1949,589517000
1950,692124000
1951,712983000
1952,694618000
1953,711175000
1954,677689000
1955,742828000
1956,778631000
1957,772001000
1958,748069000
1959,770642000
1960,788300000
1961,785521000
1962,814619000
1963,850622000
1964,887918000
1965,924713000
1966,971333000
1967,1007829000
1968,1044820000
1969,1097559000
1970,1180503000
1971,1188102000
1972,1244874000
1973,1300844000
1974,1254019000
1975,1201617000
1976,1258004000
1977,1293235000
1978,1333750000
1979,1336732000
1980,1288031000
1981,1236924000
1982,1174461000
1983,1184041000
1984,1220396000
1985,1225131000
1986,1225924000
1987,1278531000
1988,1334204000
1989,1351263000
1990,1315354000
1991,1314657000
1992,1338842000
1993,1371332000
1994,1389243000
1995,1399760000
1996,1432264000
1997,1464062000
1998,1472869000
1999,1501137000
2000,1552682000
2001,1525987000
2002,1538399000
2003,1547778000
2004,1569696000
2005,1578873000
2006,1553664000
2007,1578683000
2008,1530982000
2009,1435371000
2010,1471375000
2011,1442509000
2012,1396083000
2013,1406916000
2014,1432855000
