# surface area (m^2),wall area  (m^2),roof area  (m^2),heating load (BTU)
515.087941,278.9139681,113.2060492,36.57004133
484.3279362,298.9267487,117.4954099,35.86831791
524.3534975,306.0756831,107.7075665,32.79231743
538.6513663,289.7626109,110.5849209,36.79487356
555.0252218,319.0582015,120.4069606,36.94991924
564.616403,315.011601,133.5456457,33.68730479
556.5232019,336.9094095,124.0176407,34.64642291
600.3188191,321.0294011,113.1239024,33.8371028
593.0588022,278.3731707,149.2232224,27.18188191
556.7463414,297.7053706,147.4541856,24.00588022
595.4107413,294.756976,142.5784475,20.37463414
589.5139521,286.6307458,137.0537224,24.24107413
597.7614916,301.9228706,138.4643533,26.62806188
579.3457412,304.2739222,151.6926936,25.00281583
584.0478443,326.321156,138.3536876,23.16124079
628.142312,304.0894794,151.227136,23.6314511
608.1789588,350.0452266,145.4288501,31.08987223
651.0904532,340.3814169,152.8335147,26.64353691
631.7628337,352.7225245,149.0028966,30.93468634
656.445049,346.3381611,157.3546245,29.0019244
668.1763221,433.7577075,121.6509398,52.25191231
696.0154149,415.0848996,116.910613,50.97503962
658.6697993,407.1843549,123.0085104,53.7589489
642.8687098,417.3475174,121.9265335,50.02438733
687.6950348,244.0442225,225.8662868,7.462267809
684.088445,253.9438114,219.2683615,9.494900306
703.8876227,242.9472692,214.0958512,9.134241324
681.8945384,234.3264186,218.2270048,11.1141591
689.1528372,265.7116746,227.1838492,10.48408985
702.9233493,280.6397486,215.4238938,8.75991974
732.7794973,261.039823,228.6071993,10.13697094
693.5796459,283.0119989,215.4931382,13.12258574
762.0239978,285.6552304,223.4398725,10.84129793
718.3104608,298.8997875,216.7123923,15.23573312
744.799575,287.6873206,223.0593956,10.86437941
722.3746412,298.2656594,218.3724501,13.51329083
768.0313188,314.9540834,222.6856145,12.97223114
752.4081669,322.1426908,220.293214,15.0878989
766.7853816,318.1553567,225.9039719,13.52558371
758.8107133,327.5066198,216.4170685,14.96330518
802.0132397,336.1951142,224.739528,15.92412689
770.3902285,350.0658801,222.8476805,17.79437952
798.1317601,346.9128009,229.5054182,14.6320784
791.8256018,358.0090304,228.9671575,17.40623157
838.5180607,381.6119291,213.3677795,18.58559049
836.7238583,355.6129659,216.5477262,20.80483637
784.7259317,360.9128769,226.6125449,20.62541613
795.3257539,377.6875749,217.3519433,15.42562348
534.8751498,288.7532388,102.173532,34.4920992
504.0064775,280.53922,104.6417625,37.84703879
487.57844,284.6529376,107.9574632,34.76017156
495.8058751,290.1791054,108.1738798,33.11736781
555.8582107,315.0397997,110.677989,32.66537012
556.5795993,298.7966483,122.6586606,33.77060368
524.0932965,318.7644344,127.2196482,33.84274254
564.0288687,326.3660804,121.1018318,30.59411226
603.7321608,291.6697197,135.0434826,23.55288687
583.3394394,274.0724711,141.3507976,25.07321608
548.1449421,284.5846626,144.6859518,23.03394394
569.1693252,290.143253,149.8043312,19.51449421
604.7865061,323.1738854,136.6322989,24.59359918
621.8477708,301.2204982,141.2312491,25.70531728
577.9409963,308.8854152,142.4506581,27.41144374
593.2708305,310.9177635,151.6759987,23.0207663
621.835527,350.7933312,151.4736452,27.60272407
652.5866623,350.4560754,135.143087,28.00919372
651.9121508,323.2384784,144.7875583,31.08430726
597.4769568,339.3125972,146.2535935,31.01685611
654.1251944,415.2559892,132.3974704,46.35510309
659.0119784,432.9957839,118.4988687,49.56992684
694.4915678,409.8314479,130.69113,50.05860525
648.1628958,430.1518834,121.512615,53.60656419
713.3037668,243.3543584,227.0824822,7.991686401
682.7087167,255.9708037,213.1595217,12.0557735
707.9416073,232.7658694,216.9903875,8.9962685
661.5317389,239.1506459,221.5396588,11.51955756
698.8012917,271.2327646,224.8133324,8.447809902
713.9655292,276.6888874,224.0203452,9.724765186
724.8777747,275.367242,220.9012611,11.24118894
722.234484,270.1687685,202.0702064,12.33241349
736.3375371,263.2836773,225.9688206,13.70678173
673.5673546,303.114701,223.5817772,12.66708704
753.2294021,299.1362953,220.8851241,6.390068796
745.2725906,294.6418735,214.4460589,14.35627354
760.783747,308.4100982,220.5288953,15.26202608
739.3201963,318.5481589,217.343768,14.36314172
759.5963178,313.2396133,214.5295365,12.21678666
748.9792266,308.5492275,227.4542728,14.2443988
764.098455,354.5904547,219.4140586,14.94097821
807.1809094,341.1900976,217.4492147,14.00290105
780.3801952,337.9153579,221.3779563,18.31114649
773.8307158,344.4632605,213.8675378,15.63107508
811.426521,356.4458963,219.4946675,16.78610188
786.3917927,365.8244458,213.6006865,18.09568241
805.1488917,356.0011442,222.008954,15.59220957
785.5022885,370.0149233,215.2813036,17.46791947
519.5298465,285.3021727,116.0159147,33.50975266
497.1043454,303.6098578,112.0449566,36.31250846
533.7197156,296.9915943,109.3832353,34.06995835
520.4831886,292.5553922,123.2520304,37.73149537
560.6107844,340.1700507,128.8915562,35.13310147
606.8401014,329.1525936,118.1459682,34.24586105
584.8051873,311.2432803,124.9731315,38.86879275
548.9865605,322.6218858,129.4251029,36.66530133
596.2437716,305.5418382,145.3604904,22.04865605
611.0836763,291.267484,140.0646017,24.32437716
582.5349679,282.4410029,145.7711204,25.80836763
564.8820057,291.9518673,138.1884504,22.95349679
608.4037347,303.814084,148.7947965,24.16486724
583.128168,321.4913274,150.5873256,26.06704014
618.4826549,324.478876,140.2510262,23.53948347
624.457752,307.2517104,150.4621268,27.07493215
614.5034207,348.7702113,148.5597605,30.72141622
648.5404227,345.5996008,141.9568998,27.2759831
642.1992015,334.594833,155.0952494,30.67968329
620.1896659,356.4920824,149.0129071,30.04556118
688.4841648,419.8548452,128.0606584,48.626374
668.2096904,425.7677639,117.722363,53.00582389
680.0355279,408.5372717,121.5313461,50.97837644
645.5745434,414.8855768,127.6933762,52.16096019
682.7711535,253.655627,220.9754922,7.732851168
703.311254,245.7924869,225.1168017,9.002512179
687.5849739,252.6946695,214.7969462,11.05652222
701.389339,235.4949104,209.7981431,9.483894213
691.4898208,251.6635719,227.2095709,12.43356991
674.8271438,280.6826181,219.0048626,8.993618094
732.8652363,267.0081044,227.5839956,7.327350394
705.5162088,281.3066593,213.9800119,13.13115964
758.6133187,283.1333532,220.2141493,12.03495421
713.2667064,293.5235821,206.6562081,14.8946652
734.0471642,270.9270134,225.575577,10.36000397
688.8540269,302.459295,210.4248953,12.43804975
776.4185901,301.7081589,221.105857,9.620169711
725.9163178,319.5097617,223.7348867,15.92662603
761.5195234,323.8914778,217.4705091,10.8763988
770.2829555,313.4508484,205.4775053,14.43671936
773.9016969,317.9625089,212.361095,17.07135111
733.9250178,329.4351583,213.4247062,14.98322524
756.8703165,331.2078436,219.5339887,10.98555733
760.4156872,341.3899812,226.939935,13.28008721
805.2799625,378.233225,221.3757972,15.44459902
829.96645,368.959662,217.5785161,17.48102655
811.419324,362.6308601,216.5879648,19.94967531
798.7617203,360.9799414,225.2830935,18.0949627
501.4598828,301.9718224,118.9819592,34.83569584
530.4436449,308.5532653,102.5483077,34.50551209
543.6065307,281.1638461,116.9326951,37.4038883
488.8276923,305.1378252,105.2402071,38.72017688
585.7756503,310.1503452,118.2548684,31.96755183
546.8006903,311.4247807,118.9771879,36.76234764
549.3495614,312.6286466,115.6135111,32.86485164
551.7572932,307.0225185,121.6005981,33.11973875
565.045037,292.5009968,157.5085413,22.32572932
585.0019937,311.5142354,147.5769506,21.2045037
623.0284708,294.9615843,145.8941445,23.20019937
589.9231686,292.1569074,143.9264907,27.00284708
608.8138149,313.3774845,150.0495264,26.66898353
602.2549691,323.5825441,146.2126457,26.10804816
622.6650881,317.1877428,144.3978021,25.45216357
609.8754857,314.1630035,148.7289636,27.49317548
628.3260071,345.881606,154.1339837,29.2631896
642.7632119,354.8899728,153.7214322,28.65824173
660.7799456,354.202387,146.0624197,30.10196222
659.4047739,341.4373661,148.8731211,31.90363558
658.3747322,419.6218685,111.0397005,52.5478848
